id,created_by,name,email,phone,skills,availability,total_hours,joined_date,is_also_donor,donor_total_giving,created_at,updated_at
0e119d63-378c-466e-869e-b9b932195e9a,7c82547b-708e-42bb-bd07-56b3994fa160,Nadia Okafor,nadia.okafor@email.com,,"{""Digital Skills"",Translation}","{Evenings,Weekends}",98,2025-08-19,t,1200,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
1826d7a2-a053-4ecd-8fe6-ef3a71b9b0e5,7c82547b-708e-42bb-bd07-56b3994fa160,Daniel Flores,d.flores@email.com,,"{Photography,""Event Setup"",Fundraising}","{Weekends,Flexible}",240,2025-05-11,f,,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
136376f8-638a-4135-89f8-85d6d2df6dbd,7c82547b-708e-42bb-bd07-56b3994fa160,Lisa Chen,lisa.chen@email.com,,"{""Health Screening"",Administrative}","{""Weekday Mornings"",""Weekday Afternoons""}",420,2023-12-28,t,8500,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
7d3cbdc3-ae45-451e-86c5-bb70ef964beb,7c82547b-708e-42bb-bd07-56b3994fa160,David Osei,david.osei@email.com,,"{""Food Distribution"",""Event Setup""}",{Weekends},156,2025-01-31,t,2400,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
839142b6-25db-492b-8fde-0550dda637ef,7c82547b-708e-42bb-bd07-56b3994fa160,Carol Nguyen,carol.nguyen@email.com,,"{Administrative,Translation,""Digital Skills""}","{""Weekday Mornings"",Evenings}",287,2024-09-03,f,,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
3f86f7e3-7b44-4924-8956-b1fe553f1125,7c82547b-708e-42bb-bd07-56b3994fa160,James Wright Jr.,j.wright.jr@email.com,,"{Legal,Administrative}",{Flexible},72,2025-12-17,f,,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
34e1d7b6-a602-4474-8c51-da205c1e544d,7c82547b-708e-42bb-bd07-56b3994fa160,Aisha Patel,aisha.patel@email.com,,"{""Youth Mentoring"",""Digital Skills"",Photography}","{""Weekday Afternoons"",Weekends}",345,2024-06-15,t,3600,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
860e7db7-163e-4dad-8fcc-f0d51f11c740,7c82547b-708e-42bb-bd07-56b3994fa160,Robert Santos,r.santos@email.com,,"{""Food Distribution"",""Event Setup"",Fundraising}","{Weekends,Evenings}",201,2025-04-21,f,,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
48f965a9-9ac2-4827-8fef-2c898dcd1001,7c82547b-708e-42bb-bd07-56b3994fa160,Michelle Kim,michelle.kim@email.com,,"{""Health Screening"",Translation}","{""Weekday Mornings""}",118,2025-09-28,f,,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
08930422-421a-4b64-8e11-61b7dfda4ceb,7c82547b-708e-42bb-bd07-56b3994fa160,Steven Park,s.park@email.com,,"{Administrative,Fundraising}","{Evenings,Weekends}",89,2026-01-16,t,950,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
04dbeb0e-00b8-497f-8040-d3171d144a8d,7c82547b-708e-42bb-bd07-56b3994fa160,Fatima Hassan,fatima.hassan@email.com,,"{Translation,""Food Distribution"",""Youth Mentoring""}","{""Weekday Afternoons"",Weekends}",263,2024-10-23,f,,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
3b9ef0a9-c7ec-41bd-8afc-0d61deaf9272,7c82547b-708e-42bb-bd07-56b3994fa160,Brian O'Connor,b.oconnor@email.com,,"{""Event Setup"",Photography}","{Weekends,Flexible}",134,2025-05-31,f,,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
21609218-a3b9-48d3-8fd4-e2641234b1df,7c82547b-708e-42bb-bd07-56b3994fa160,Jasmine Rivera,jasmine.rivera@email.com,,"{""Youth Mentoring"",Administrative,""Digital Skills""}","{""Weekday Afternoons"",Evenings}",200,2025-03-22,f,,2026-06-15 17:01:47.213906+00,2026-06-15 17:01:47.213906+00
