id,campaign_id,donor_name,donor_email,amount,frequency,fund_designation,is_anonymous,payment_method,notes,created_at,updated_at
06d30f58-2f96-4ef0-8549-cd033e4b84d2,80f61bfc-83c0-41a3-8e5c-7b20dcbc99d8,Margaret Chen,,150,Monthly,General Operating,f,Credit Card,,2026-06-11 12:00:00+00,2026-06-15 17:02:06.100904+00
e7486550-a00c-479f-8645-8eb1437dc7ad,714d9071-f78c-49ed-8e9e-659cc1ece3b0,David Chen,,750,One-Time,Technology Fund,f,PayPal,,2026-06-10 12:00:00+00,2026-06-15 17:02:06.100904+00
12d03547-a522-4405-8183-a01141a5ac4d,714d9071-f78c-49ed-8e9e-659cc1ece3b0,Jennifer Walsh,,250,Quarterly,Technology Fund,f,ACH,,2026-06-08 12:00:00+00,2026-06-15 17:02:06.100904+00
e72e875d-8782-4066-8d84-8baf0cc3bf27,80f61bfc-83c0-41a3-8e5c-7b20dcbc99d8,Kevin Park,,1000,Annual,General Operating,f,Check,,2026-06-07 12:00:00+00,2026-06-15 17:02:06.100904+00
b3a9409d-4569-4d1d-831d-8b9ab7b157d8,80f61bfc-83c0-41a3-8e5c-7b20dcbc99d8,Anonymous,,50,Monthly,General Operating,t,Credit Card,,2026-06-06 12:00:00+00,2026-06-15 17:02:06.100904+00
3a060329-bdb0-4353-83b7-10d8011e97d6,3b7cffbc-6b0d-4282-8e2a-e33c7ec28ea6,Thomas Rivera,,300,One-Time,Youth Programs,f,Credit Card,,2026-06-05 12:00:00+00,2026-06-15 17:02:06.100904+00
5f11ef22-1d28-4220-84f2-fc1929fdbe10,714d9071-f78c-49ed-8e9e-659cc1ece3b0,Dr. Alicia Ramos,,200,Monthly,Technology Fund,f,ACH,,2026-06-03 12:00:00+00,2026-06-15 17:02:06.100904+00
2b3e6019-d9cf-4381-8d46-bb010f36a45c,3b7cffbc-6b0d-4282-8e2a-e33c7ec28ea6,Lisa Chen,,10000,Annual,Youth Programs,f,Check,,2026-06-01 12:00:00+00,2026-06-15 17:02:06.100904+00
aa905779-c48b-45ea-8bf1-688150d0067d,80f61bfc-83c0-41a3-8e5c-7b20dcbc99d8,Carol Nguyen,,75,Monthly,General Operating,f,Credit Card,,2026-05-31 12:00:00+00,2026-06-15 17:02:06.100904+00
613345cc-e169-435c-80bd-1265502a43e9,80f61bfc-83c0-41a3-8e5c-7b20dcbc99d8,Marcus Webb,,500,One-Time,General Operating,f,PayPal,,2026-05-29 12:00:00+00,2026-06-15 17:02:06.100904+00
e7774689-95f5-45aa-8f35-1a34bc7956af,714d9071-f78c-49ed-8e9e-659cc1ece3b0,Priya Mehta,,1500,Annual,Technology Fund,f,ACH,,2026-05-26 12:00:00+00,2026-06-15 17:02:06.100904+00
c720b8fe-2c1f-4c52-8ee7-5f5321ff0d1b,80f61bfc-83c0-41a3-8e5c-7b20dcbc99d8,Anonymous,,25,Monthly,General Operating,t,Credit Card,,2026-05-24 12:00:00+00,2026-06-15 17:02:06.100904+00
536d5d02-735b-443d-851b-e2ff3529874d,3b7cffbc-6b0d-4282-8e2a-e33c7ec28ea6,Angela Torres,,400,Quarterly,Youth Programs,f,Credit Card,,2026-05-21 12:00:00+00,2026-06-15 17:02:06.100904+00
524ddd6e-7043-473e-8838-cef2fd78c1f3,3b7cffbc-6b0d-4282-8e2a-e33c7ec28ea6,James Wright,,2000,Annual,Youth Programs,f,Check,,2026-05-16 12:00:00+00,2026-06-15 17:02:06.100904+00
a60b50d0-a921-435b-8dfc-a2151adcb3dd,80f61bfc-83c0-41a3-8e5c-7b20dcbc99d8,Robert Okafor,,100,Monthly,General Operating,f,ACH,,2026-05-11 12:00:00+00,2026-06-15 17:02:06.100904+00
f89fcd0f-88da-4700-88bb-73add85c96a9,714d9071-f78c-49ed-8e9e-659cc1ece3b0,Susan Park,,600,One-Time,Technology Fund,f,Credit Card,,2026-05-01 12:00:00+00,2026-06-15 17:02:06.100904+00
