id,event_id,name,email,ticket_tier,checked_in,registered_at,created_at
47f8976a-0e72-449c-885d-40a59d6d2ac0,51299673-f35b-43a3-8dd1-955ab7af82ff,Carol Nguyen,carol.nguyen@email.com,Free,f,2026-06-12 12:00:00+00,2026-06-15 17:02:18.692737+00
e1e3b25d-35ae-44c6-8bf9-2dab3cbd9d78,886a4c37-21b9-4140-8820-eeb8221ac9e8,Lisa Chen,lisa.chen@email.com,Free,t,2026-06-05 12:00:00+00,2026-06-15 17:02:18.692737+00
268c6536-ae04-4f0a-8171-69d199b4651c,886a4c37-21b9-4140-8820-eeb8221ac9e8,Michelle Kim,michelle.kim@email.com,Free,t,2026-06-07 12:00:00+00,2026-06-15 17:02:18.692737+00
3f64c228-9f53-4b79-8f51-256fd82f3f91,886a4c37-21b9-4140-8820-eeb8221ac9e8,Marcus Webb,marcus.webb@email.com,General Admission,f,2026-06-08 12:00:00+00,2026-06-15 17:02:18.692737+00
e9cb08a2-3943-4ea9-8421-a82fa2486fd1,468e3db5-3070-4ea4-8347-5666a1a7d1f0,Robert Kim,robert.kim@email.com,VIP,t,2026-05-16 12:00:00+00,2026-06-15 17:02:18.692737+00
a82b720f-b65f-44b6-801a-46572320668a,468e3db5-3070-4ea4-8347-5666a1a7d1f0,Jennifer Walsh,j.walsh@lawfirm.com,General Admission,t,2026-05-21 12:00:00+00,2026-06-15 17:02:18.692737+00
d6812c02-f868-445a-8bf0-213b751e86b1,468e3db5-3070-4ea4-8347-5666a1a7d1f0,Thomas Rivera,t.rivera@email.com,Member-Only,f,2026-05-26 12:00:00+00,2026-06-15 17:02:18.692737+00
800ef2f1-938e-4b88-8910-4ffe233b3c16,468e3db5-3070-4ea4-8347-5666a1a7d1f0,Mayor Gloria Chen,g.chen@boston.gov,VIP,t,2026-05-18 12:00:00+00,2026-06-15 17:02:18.692737+00
e1096679-8d6e-460c-85db-98f9420018fe,ecfbc23f-19d5-4958-84fa-2b66afad41e3,Emily Saunders,emily.s@email.com,Member-Only,t,2026-05-18 12:00:00+00,2026-06-15 17:02:18.692737+00
27f53bd3-c4de-4ac7-807e-9ef35e15bd57,ecfbc23f-19d5-4958-84fa-2b66afad41e3,Kevin Park,kevin.park@kpmg.com,Member-Only,t,2026-05-21 12:00:00+00,2026-06-15 17:02:18.692737+00
0b948b4e-f4d4-40ff-8838-bb321685a748,ecfbc23f-19d5-4958-84fa-2b66afad41e3,Dr. Alicia Ramos,a.ramos@healthpartners.org,Member-Only,t,2026-05-19 12:00:00+00,2026-06-15 17:02:18.692737+00
